feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	structure_taxonomy_npclassifier_02superclass_consensus	structure_taxonomy_npclassifier_03class_consensus	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	score_taxo	score_max_consistency	final_score
16569	6	Amino acids and Peptides	Small peptides	Dipeptides	0.2788352	ISDB	XTQRPPSVJOYBFK-IHBLQFBFSA-N	InChI=1S/C8H11NO4/c1-4(10)8(13)6(11)2-5(3-9)7(8)12/h2,4,6-7,10-13H,1H3/t4-,6+,7+,8-/m0/s1	C[C@H](O)[C@]1(O)[C@H](O)C=C(C#N)[C@H]1O	C8H11NO4		185.068807832	XTQRPPSVJOYBFK	Amino acids and Peptides			Trichoderma harzianum	939829.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Hypocreales']	['Hypocreaceae']	['Unknown']	['Hypocrea']	['Trichoderma harzianum']	1	1	2.6153407096862793
16535	691	Amino acids and Peptides	Small peptides	Dipeptides	0.2871849	ISDB	FTTGAAZKBNZDCZ-LURJTMIESA-N	InChI=1S/C8H13NO5/c1-5(10)9-6(8(13)14)3-2-4-7(11)12/h6H,2-4H2,1H3,(H,9,10)(H,11,12)(H,13,14)/t6-/m0/s1	CC(=O)N[C@@H](CCCC(=O)O)C(=O)O	C8H13NO5		203.07937251599998	FTTGAAZKBNZDCZ	Amino acids and Peptides	Small peptides	Dipeptides	Apis cerana	625771.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Apidae']	['Apini']	['Apis']	['Apis cerana']	5	3	7.648739814758301
16526	748				0.36612034	ISDB	XTXCPGDPIWDLPP-QJPTWQEYSA-N	InChI=1S/C12H15NO5/c14-4-8-1-2-9-6-17-12(7-13(8)9)3-10(16)11(5-15)18-12/h1-2,4,10-11,15-16H,3,5-7H2/t10-,11+,12+/m0/s1	O=Cc1ccc2n1C[C@]1(C[C@H](O)[C@@H](CO)O1)OC2	C12H15NO5		253.09502258	XTXCPGDPIWDLPP				Brassica campestris	833632.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Brassiceae']	['Brassica']	['Brassica rapa']	1	0	2.4644813537597656
16526	748				0.36612034	ISDB	XTXCPGDPIWDLPP-QJPTWQEYSA-N	InChI=1S/C12H15NO5/c14-4-8-1-2-9-6-17-12(7-13(8)9)3-10(16)11(5-15)18-12/h1-2,4,10-11,15-16H,3,5-7H2/t10-,11+,12+/m0/s1	O=Cc1ccc2n1C[C@]1(C[C@H](O)[C@@H](CO)O1)OC2	C12H15NO5		253.09502258	XTXCPGDPIWDLPP				Brassica rapa	833632.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Brassiceae']	['Brassica']	['Brassica rapa']	1	0	2.4644813537597656
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Candida albicans	154960.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Debaryomycetaceae']	['Unknown']	['Candida']	['Candida albicans']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Himatanthus articulatus	6067897.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Gentianales']	['Apocynaceae']	['Plumerieae']	['Himatanthus']	['Himatanthus articulatus']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Himatanthus sucuuba	6067905.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Gentianales']	['Apocynaceae']	['Plumerieae']	['Himatanthus']	['Himatanthus sucuuba']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Codonopsis pilosula	1014057.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Campanulaceae']	['Unknown']	['Codonopsis']	['Codonopsis pilosula']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-HGVZOGFYSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6+/m0/s1	C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Cussonia spicata	11201.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Apiales']	['Araliaceae']	['Unknown']	['Cussonia']	['Cussonia spicata']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-HGVZOGFYSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6+/m0/s1	C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Prunus avium	162547.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Rosaceae']	['Amygdaleae']	['Prunus']	['Prunus avium']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-HGVZOGFYSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6+/m0/s1	C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Ipomoea muricata	563686.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Convolvulaceae']	['Ipomoeeae']	['Ipomoea']	['Ipomoea muricata']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-HGVZOGFYSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6+/m0/s1	C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Ipomoea capillacea	7054614.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Convolvulaceae']	['Ipomoeeae']	['Ipomoea']	['Ipomoea capillacea']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-HGVZOGFYSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6+/m0/s1	C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Primula veris	596319.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ericales']	['Primulaceae']	['Unknown']	['Primula']	['Primula veris']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-HGVZOGFYSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6+/m0/s1	C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Joannesia princeps	485781.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Jatropheae']	['Joannesia']	['Joannesia princeps']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Helianthus annuus	515712.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Heliantheae']	['Helianthus']	['Helianthus annuus']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Ligusticum lucidum	3889978.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Apiales']	['Apiaceae']	['Unknown']	['Ligusticum']	['Ligusticum lucidum']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Thalictrum aquilegiifolium	815364.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Unknown']	['Thalictrum']	['Thalictrum aquilegiifolium']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Thalictrum aquilegifolium	815364.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Unknown']	['Thalictrum']	['Thalictrum aquilegiifolium']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-DHVFOXMCSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3+,4+,5-,6?/m0/s1	C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Ascoseira mirabilis	1052602.0	['Eukaryota']	['Unknown']	['Unknown']	['Phaeophyceae']	['Ascoseirales']	['Ascoseiraceae']	['Unknown']	['Ascoseira']	['Ascoseira mirabilis']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Galactites tomentosus	25038.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Cardueae']	['Galactites']	['Galactites tomentosus']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Teucrium polium	652402.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Unknown']	['Teucrium']	['Teucrium polium']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Plantago maritima	236705.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Plantaginaceae']	['Plantagineae']	['Plantago']	['Plantago maritima']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-YJRYQGEOSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6-/m0/s1	C[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Dipsacus azureus	6061231.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Dipsacus']	['Dipsacus azureus']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-YJRYQGEOSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6-/m0/s1	C[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Dipsacus dipsacoides	6061231.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Dipsacus']	['Dipsacus azureus']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Fagopyrum esculentum	904381.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Caryophyllales']	['Polygonaceae']	['Fagopyreae']	['Fagopyrum']	['Fagopyrum esculentum']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Jatropha gossypiifolia	610105.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Jatropheae']	['Jatropha']	['Jatropha gossypiifolia']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-HGVZOGFYSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6+/m0/s1	C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Panellus serotinus	417404.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Agaricales']	['Mycenaceae']	['Unknown']	['Panellus']	['Sarcomyxa serotina']	1	3	3.5194764137268066
16499	106	Carbohydrates	Saccharides	Disaccharides	0.25486913	ISDB	SHZGCJCMOBCMKK-JFNONXLTSA-N	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	C6H12O5		164.068473484	SHZGCJCMOBCMKK	Carbohydrates	Saccharides	Disaccharides	Medicago lupulina	38032.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Trifolieae']	['Medicago']	['Medicago lupulina']	1	3	3.5194764137268066
