ATTRIBUTE_colony	ATTRIBUTE_species	G1	G2	G3	G4	G5	G6	GNPSGROUP:2	GNPSGROUP:3	GNPSGROUP:4	GNPSGROUP:5	GNPSGROUP:6	GNPSGROUP:7	GNPSGROUP:Myrmecocystus mexicanus	GNPSGROUP:nd	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	1834035483.1899133	402693621.4494833	401658226.98481023	2218338884.2808003	445949245.23182344	554094792.0968001	907418071.0784986	890259640.9742546	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"13.0","main.cluster index_upperinput":"13.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	Spectral Match to Sucrose from NIST14	0.9315120000000001	0.6402	0.6402	0	N/A	CCMSLIB00003139675	48863308397.40499	54	13	6	54	325.1126	1	325.1126	48863308397.40499
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	4510024677.11448	399335945.6579185	537892366.0097591	3467808435.856293	477098117.2393966	406601769.90024346	1440912523.2802517	1681465942.5048287	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14.0","main.cluster index_upperinput":"14.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=d4aca8b0f5d342488086b66b755dfd21&show=true	"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11-,12-/m1/s1"	MALTOSE	0.9576959999999999	0.6632	0.6632	0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)O)O)O)O)O)O	CCMSLIB00006679930	79733703610.9302	54	14	6	54	360.1499	1	360.1499	79733703610.9302
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	129160586.36917385	176245594.34764007	94717254.88682222	85232835.76618618	203997043.61061165	204332627.872573	160730617.97585666	206273635.78815544	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15.0","main.cluster index_upperinput":"15.0"}	This Node is a Singleton	N/A	N/A	N/A	0.5705	0.5705	0	N/A	N/A	9043797513.19465	53	15	-1	53	221.0242	1	221.0242	9043797513.19465
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	9974505.566071289	275905327.9127933	4968918.739036537	212454.13950133204	217986465.19329822	160103866.29502586	130790643.86332585	96496788.12059768	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18.0","main.cluster index_upperinput":"18.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=201&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	1.6405	1.6405	0	N/A	N/A	6788343922.677771	44	18	201	44	328.1390	1	328.1390	6788343922.677771
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	13338125.099547295	483793436.9345414	8186330.286883007	1001941.3473639309	329089806.4960206	240806487.30068237	206003488.76575878	331700039.05515707	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"19.0","main.cluster index_upperinput":"19.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=121&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.6103	0.6103	0	N/A	N/A	12129760795.666159	42	19	121	42	295.1139	1	295.1139	12129760795.666159
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	21381867.77116388	61669732.596763685	40384857.619784005	6832764.983067088	118058727.06779799	48709329.50340978	59156753.534782976	45799727.50202538	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"20.0","main.cluster index_upperinput":"20.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=91&task=d4aca8b0f5d342488086b66b755dfd21&show=true	InChI=1S/C12H24O3/c13-11-9-7-5-3-1-2-4-6-8-10-12(14)15/h13H,1-11H2,(H,14,15)	12-Hydroxydodecanoic acid	0.9504530000000001	5.2432	5.2432	0	O=C(O)CCCCCCCCCCCO	CCMSLIB00006690718	3087608482.6162205	54	20	91	54	199.1693	1	199.1693	3087608482.6162205
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	106457390.89354374	181490129.43582538	96289207.96513927	34827582.291983545	108963306.13318184	166107627.62875628	116617736.222521	85999093.19855699	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"21.0","main.cluster index_upperinput":"21.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=13&task=d4aca8b0f5d342488086b66b755dfd21&show=true	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	DL-PHENYLALANINE	0.967499	1.6149	1.6149	0	NC(Cc1ccccc1)C(=O)O	CCMSLIB00006691499	6052408611.82442	54	21	13	54	166.0861	1	166.0861	6052408611.82442
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	356936190.82622164	292121837.34564656	51773961.900813624	338124750.06097853	333106942.66613734	349864129.3201007	304331709.72832215	348265814.070716	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"22.0","main.cluster index_upperinput":"22.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.6065	0.6065	0	N/A	N/A	16785385160.068548	53	22	6	53	342.1393	1	342.1393	16785385160.068548
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	168274662.3117593	190765659.57562467	174523007.216933	17743777.342571545	175571824.54044008	126630026.8060508	142894942.80624235	186897401.40720317	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"23.0","main.cluster index_upperinput":"23.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=20&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.5859	0.5859	0	N/A	N/A	8068346580.344772	53	23	20	53	235.0215	1	235.0215	8068346580.344772
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	16849375.86627295	49213779.29306105	32170715.301534045	5380259.091932567	94713768.47632766	38897420.3055383	47309784.65324579	35866572.03447833	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24.0","main.cluster index_upperinput":"24.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=91&task=d4aca8b0f5d342488086b66b755dfd21&show=true	InChI=1S/C12H24O3/c13-11-9-7-5-3-1-2-4-6-8-10-12(14)15/h13H,1-11H2,(H,14,15)	OMEGA-HYDROXYDODECANOATE	0.9735	5.2430	5.2430	0	OCCCCCCCCCCCC(O)=O	CCMSLIB00005463889	2463182670.325133	54	24	91	54	181.1585	1	181.1585	2463182670.325133
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	7667566.978393041	50735938.139054716	10859152.27798431	1409444.9327167724	70659744.56300132	26961711.75243966	34256847.645969555	25059704.552141022	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"25.0","main.cluster index_upperinput":"25.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=160&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	Spectral Match to Stearidonic acid from NIST14	0.708117	3.9346	3.9346	0	N/A	CCMSLIB00003135978	1776292628.131728	54	25	160	54	277.2010	1	277.2010	1776292628.131728
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	7084961.617131808	206271995.14964092	5270734.865916923	416139.09740188235	226326111.0101154	93111786.69249919	110644650.26034841	190669558.6509016	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"27.0","main.cluster index_upperinput":"27.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=514&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.6182	0.6182	0	N/A	N/A	6615010381.183239	44	27	514	44	296.0976	1	296.0976	6615010381.183239
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	23316881.456575625	182631844.70278046	18588192.825784933	170286.01174676718	221788684.08202988	129839563.43497571	116992049.72061867	65280352.65176086	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"28.0","main.cluster index_upperinput":"28.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=8&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.8470	0.8470	0	N/A	N/A	5903877108.362545	43	28	8	43	330.0584	1	330.0584	5903877108.362545
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	36363794.17443867	166421137.27052125	18932278.522791043	63592.91406833888	139081892.08598158	97702144.8015112	86939131.13072945	51625326.03606576	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"29.0","main.cluster index_upperinput":"29.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=809&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.8749	0.8749	0	N/A	N/A	4412202640.30208	44	29	809	44	259.0925	1	259.0925	4412202640.30208
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	1116178802.3500147	120379833.75099687	1088474354.9523027	35145106.61132176	129886374.53565392	254193560.96937397	371391396.8551022	375030312.5931901	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"30.0","main.cluster index_upperinput":"30.0"}	This Node is a Singleton	N/A	N/A	N/A	0.5696	0.5696	0	N/A	N/A	20084246756.080223	54	30	-1	54	221.0414	1	221.0414	20084246756.080223
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	73086874.4191737	74159629.06253529	42813365.586072415	135349622.59110913	70876161.55393563	75545577.60428746	79267250.12169848	120946283.13066643	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"31.0","main.cluster index_upperinput":"31.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=10&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.5534	0.5534	0	N/A	N/A	4613863770.643462	51	31	10	51	579.1508	2	290.0754	4613863770.643462
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	584804041.193731	201035234.94529387	177225796.5523595	734798384.0966519	259806675.57380113	454830367.85736006	395993770.03148186	415228095.2720117	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"33.0","main.cluster index_upperinput":"33.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=210&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	Spectral Match to .beta.-D-Glucopyranose, 1,6-anhydro- from NIST14	0.781371	0.6455	0.6455	0	N/A	CCMSLIB00003138077	21537538183.624252	54	33	210	54	145.0494	1	145.0494	21537538183.624252
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	344534789.4439587	119406451.31312329	221535713.18109077	138940638.28688908	150694710.47033674	151870604.26039717	178038633.75900263	337549145.68597007	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"34.0","main.cluster index_upperinput":"34.0"}	This Node is a Singleton	N/A	N/A	N/A	0.5966	0.5966	0	N/A	N/A	10890170318.40188	53	34	-1	53	543.1317	1	543.1317	10890170318.40188
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	12881843.803401085	33462349.87769695	26814097.371892676	3660687.0151261077	71870153.58292632	31922479.358399812	36073364.54033858	30551482.77388353	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"35.0","main.cluster index_upperinput":"35.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=91&task=d4aca8b0f5d342488086b66b755dfd21&show=true	InChI=1S/C12H24O3/c13-11-9-7-5-3-1-2-4-6-8-10-12(14)15/h13H,1-11H2,(H,14,15)	12-Hydroxydodecanoic acid	0.935858	5.3222	5.3222	0	O=C(O)CCCCCCCCCCCO	CCMSLIB00006690718	1903786631.0466425	54	35	91	54	199.1693	1	199.1693	1903786631.0466425
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	460732.1532756918	2093152.247433961	2628918.0962843583	2306025.1347781247	31503986.717823192	3006551.896637431	10461323.200664455	8996380.002134971	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"36.0","main.cluster index_upperinput":"36.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=30&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	5.4205	5.4205	0	N/A	N/A	553191907.2476445	54	36	30	54	215.1644	1	215.1644	553191907.2476445
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	10391870.418257909	33533062.756844625	21882102.79866856	2960324.1026277235	59097080.928810015	26316330.551021315	30408508.886871174	21241268.08658856	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"37.0","main.cluster index_upperinput":"37.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=91&task=d4aca8b0f5d342488086b66b755dfd21&show=true	InChI=1S/C12H24O3/c13-11-9-7-5-3-1-2-4-6-8-10-12(14)15/h13H,1-11H2,(H,14,15)	OMEGA-HYDROXYDODECANOATE	0.9328989999999999	5.3224	5.3224	0	OCCCCCCCCCCCC(O)=O	CCMSLIB00005463889	1568721553.4887826	54	37	91	54	181.1586	1	181.1586	1568721553.4887826
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	27062615.248196248	100896905.43842588	21005764.683184132	373485.7226695302	131239627.29074933	123553029.82932325	80293321.1051737	92719936.8536516	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"38.0","main.cluster index_upperinput":"38.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=777&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.7182	0.7182	0	N/A	N/A	4435252265.667204	48	38	777	48	292.1024	1	292.1024	4435252265.667204
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	36088085.901283726	257682491.9192079	152383899.06789204	52948351.18993115	154538996.65022075	154551105.29924667	136851050.537783	95770008.6594931	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"39.0","main.cluster index_upperinput":"39.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=20&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.5930	0.5930	0	N/A	N/A	7061308394.013963	44	39	20	44	221.1857	1	221.1857	7061308394.013963
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	9936835.39425439	59199389.54424285	3421523.9399573	697455.8268691803	47890392.677818894	26423179.258573063	28199801.70125342	20874400.04568152	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"41.0","main.cluster index_upperinput":"41.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=274&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	2.4972	2.4972	0	N/A	N/A	1464186078.6231093	54	41	274	54	217.0971	1	217.0971	1464186078.6231093
